app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0/172,0,0.0
com.radioplayer.mobile,0/79,0/79,0/79,0/79,0/79,0/79,0/79,0/79,0/79,0/79,0,0.0
de.komoot.android,0/250,0/250,0/250,0/250,0/250,0/250,0/250,0/250,0/250,0/250,0,0.0
com.funnmedia.waterminder,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0/22,0,0.0
com.pallo.passiontimerscoped,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0/40,0,0.0
org.iggymedia.periodtracker,0/221,0/221,0/221,0/221,0/221,0/221,0/221,0/221,0/221,0/221,0,0.0
com.google.android.wearable.app,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0/107,0,0.0
au.com.auspost.android,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0,0.0
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0/29,0,0.0
com.outdooractive.Outdooractive,0/45,0/45,0/45,0/45,0/45,0/45,0/45,0/45,0/45,0/45,0,0.0
